"Customer #","Name","Address","City","State","Zip","Sales Rep","Account Type"
"1187","Da Smoke Shop Vape and Smoke","undefined","Waianae","Hawaii","undefined","Jared","Retail"
"1094","Dallas Wholesale","undefined","Dallas","TX","undefined","Jared Leuzinger","Distributor"
"617","Daniel Bachmann","undefined","HALEIWA","Hawaii","undefined","ShipStation","Retail"
"921","Daniel's Market","undefined","Lebanon","Tennessee","undefined","Jared Leuzinger","Wholesale"
"1737","DANISH CONVENIENCE","undefined","BROOKLYN","New York","undefined","Derek Whitworth","Wholesale"
"614","Dave Sparks","undefined","BOUNTIFUL","Utah","undefined","ShipStation","Retail"
"618","David Coxe","undefined","TEMPE","Arizona","undefined","ShipStation","Retail"
"610","DAVID MCCLUNE","undefined","SACRAMENTO","California","undefined","ShipStation","Retail"
"520","Day 1 Distro","undefined","Farmingdale","NY","undefined","Derek Whitworth","Distributor"
"1306","Daze Smoke Shop","undefined","El Paso","TX","undefined","Jared Leuzinger","Wholesale"
"133","Deer Park Pack and Ship","undefined","Washington","WA","undefined","Ben Wallner","Distributor"
"1041","Dejavu Wholesale inc","undefined","Slidell","Louisiana","undefined","Jared Leuzinger","Distributor"
